Dataset,Model,Total,GlobalAcc,ExeRate,TFConsensusPct,TFConsensusAcc,SemanticUnknownPct,SemanticUnknownAcc,ConflictPct,ConflictAcc,TechnicalUnknownPct,TechnicalUnknownAcc,RawUnknownPct,RawUnknownAcc,Source,InnerName,DatasetOrder,ModelOrder
PrOntoQA,Gemma,500,94.0,100.0,95.2,95.17,0.0,,4.8,70.83,0.0,,0.0,,C:\Users\mathlouthi\Desktop\POSS-LOGIC-LM\results\gemma\PBS-GEMMA.zip,PBS-GEMMA/pbs_prontoqa_gemma_results.json,0,0
PrOntoQA,LLaMA,500,87.4,99.4,63.0,93.02,0.6,0.0,36.4,79.12,0.0,,0.6,0.0,C:\Users\mathlouthi\Desktop\POSS-LOGIC-LM\results\llama3\PBS-LLAMA.zip,PBS-LLAMA/pbs_prontoqa_results.json,0,1
PrOntoQA,Qwen,500,86.6,100.0,75.4,91.25,0.0,,24.6,72.36,0.0,,0.0,,C:\Users\mathlouthi\Desktop\POSS-LOGIC-LM\results\qwen\PBS-QWEN.zip,PBS-QWEN/pbs_prontoqa_results.json,0,2
ProofWriter,Gemma,600,68.5,52.83,47.33,51.41,47.17,91.17,5.5,21.21,0.0,,47.17,91.17,C:\Users\mathlouthi\Desktop\POSS-LOGIC-LM\results\gemma\PBS-GEMMA.zip,PBS-GEMMA/pbs_proofwriter_results.json,1,0
ProofWriter,LLaMA,600,66.17,47.17,28.17,62.72,52.83,81.07,19.0,29.82,0.0,,52.83,81.07,C:\Users\mathlouthi\Desktop\POSS-LOGIC-LM\results\llama3\PBS-LLAMA.zip,PBS-LLAMA/pbs_proofwriter_results.json,1,1
ProofWriter,Qwen,600,67.33,45.67,25.0,52.0,54.33,82.82,20.67,45.16,0.0,,54.33,82.82,C:\Users\mathlouthi\Desktop\POSS-LOGIC-LM\results\qwen\PBS-QWEN.zip,PBS-QWEN/pbs_proofwriter_results.json,1,2
FOLIO,Gemma,203,51.72,25.12,16.26,87.88,0.0,,9.85,60.0,73.89,42.67,73.89,42.67,C:\Users\mathlouthi\Desktop\POSS-LOGIC-LM\results\gemma\PBS-GEMMA.zip,PBS-GEMMA/pbs_folio_gemma_results.json,2,0
FOLIO,LLaMA,203,49.75,34.98,2.96,83.33,0.0,,38.92,58.23,58.13,42.37,58.13,42.37,C:\Users\mathlouthi\Desktop\POSS-LOGIC-LM\results\llama3\PBS-LLAMA.zip,PBS-LLAMA/pbs_folio_llama_results.json,2,1
FOLIO,Qwen,203,51.23,33.99,6.4,92.31,0.0,,33.0,53.73,60.59,45.53,60.59,45.53,C:\Users\mathlouthi\Desktop\POSS-LOGIC-LM\results\qwen\PBS-QWEN.zip,PBS-QWEN/pbs_folio_results.json,2,2
